x,y,pass_end_x,pass_end_y,pass_angle,pass_length,pass_technique,pass_type,play_pattern,under_pressure,possession_team_id,shot_statsbomb_xg_y
117.7,60.6,108.1,31.2,-1.886412,30.927658,Normal,Open Play,Regular Play,False,175,0.08790052
88.8,31.7,104.3,20.5,-0.62572056,19.123022,Normal,Open Play,Regular Play,False,181,0.0740198
87.4,71.3,106.1,43.5,-0.9786547,33.504177,Normal,Open Play,From Free Kick,False,181,0.05690249
120.0,80.0,109.0,41.7,-1.8504748,39.84834,Outswinging,Corner,From Corner,False,181,0.042032436
107.8,26.5,100.1,29.6,2.7588491,8.300602,Normal,Open Play,From Free Kick,False,181,0.04037651
89.0,37.5,103.1,26.3,-0.67127174,18.006943,Normal,Open Play,Regular Play,False,175,0.02880262
120.0,0.1,114.5,37.5,1.7168086,37.80225,Inswinging,Corner,From Corner,False,175,0.15333019
94.5,48.8,93.3,38.7,-1.6890539,10.171038,Normal,Open Play,Regular Play,False,175,0.049862858
44.9,43.0,84.6,61.4,0.43400395,43.756714,Normal,Open Play,Regular Play,False,181,0.116257176
106.9,62.1,107.1,47.7,-1.5569084,14.401389,Normal,Open Play,From Free Kick,False,181,0.042735294
82.8,73.4,88.8,63.0,-1.047518,12.006665,Normal,Open Play,Regular Play,False,181,0.029627386
80.9,62.1,94.8,59.1,-0.21256681,14.220057,Through Ball,Open Play,Regular Play,False,181,0.049176164
116.4,57.8,117.7,45.4,-1.4663392,12.467959,Normal,Open Play,From Throw In,True,175,0.12288414
89.2,52.8,102.0,44.8,-0.5585993,15.09437,Normal,Open Play,Regular Play,False,175,0.2637808
109.6,6.5,94.8,26.1,2.2175548,24.560131,Normal,Open Play,From Corner,False,175,0.02574354
79.4,41.5,97.1,18.8,-0.9085344,28.785065,Normal,Open Play,Regular Play,False,175,0.10057988
93.3,23.9,93.7,54.2,1.5575957,30.30264,Normal,Open Play,From Corner,False,175,0.030122416
107.9,17.8,92.9,25.9,2.6464593,17.047287,Normal,Open Play,Regular Play,False,181,0.02135157
80.6,23.4,75.8,58.4,1.707089,35.32761,Normal,Open Play,Regular Play,False,175,0.0051403497
89.2,17.1,109.4,44.0,0.9267007,33.640007,Normal,Open Play,Regular Play,False,169,0.08032222
115.4,18.8,114.3,35.3,1.6373645,16.536627,Normal,Open Play,From Corner,True,169,0.19953291
97.3,44.4,95.2,40.6,-2.0756576,4.3416586,Normal,Open Play,From Throw In,False,169,0.05582509
62.8,46.3,82.5,51.4,0.25332174,20.349447,Normal,Open Play,Regular Play,False,169,0.14054374
120.0,0.1,112.3,36.6,1.7787068,37.303352,Straight,Corner,From Corner,False,169,0.31344244
114.3,70.5,109.5,39.4,-1.7239288,31.468239,Normal,Open Play,Regular Play,False,169,0.06448729
84.3,51.2,108.0,32.7,-0.66279346,30.065596,Normal,Open Play,From Free Kick,False,169,0.052747983
92.8,18.1,108.3,22.7,0.2884947,16.168179,Normal,Open Play,From Kick Off,True,184,0.02741364
120.0,80.0,109.6,46.5,-1.8718104,35.0772,Straight,Corner,From Corner,False,169,0.09521518
71.2,29.6,95.3,9.4,-0.69758844,31.445986,Normal,Open Play,From Goal Kick,False,169,0.24821222
103.7,30.4,95.7,33.6,2.7610862,8.616263,Normal,Open Play,Regular Play,False,169,0.035408612
100.7,39.0,93.1,37.4,-2.9340963,7.7665954,Normal,Open Play,From Throw In,False,169,0.022706099
94.0,49.5,94.2,39.1,-1.5515679,10.401923,Normal,Recovery,Regular Play,False,184,0.033295404
101.6,48.4,99.6,58.3,1.7701336,10.1,Normal,Open Play,Regular Play,False,169,0.019685775
83.6,77.1,95.1,60.0,-0.97875607,20.60728,Normal,Open Play,From Throw In,False,184,0.016639218
98.5,7.9,98.1,16.0,1.620139,8.109871,Normal,Open Play,Regular Play,False,169,0.028819527
54.2,24.1,100.6,24.1,0.0,46.4,Normal,Open Play,Regular Play,False,184,0.0443482
63.3,0.1,99.7,12.6,0.33078894,38.486492,Normal,Throw-in,From Throw In,False,169,0.189628
116.9,58.3,106.3,38.5,-2.0623252,22.45885,Normal,Open Play,Regular Play,False,178,0.12246492
63.7,16.0,84.1,4.7,-0.505849,23.320591,Normal,Open Play,Regular Play,False,173,0.026891995
96.6,58.8,89.0,54.0,-2.5782764,8.988882,Normal,Open Play,From Free Kick,False,173,0.019453933
120.0,80.0,109.5,37.6,-1.813554,43.680775,Outswinging,Corner,From Corner,False,173,0.043756336
113.1,75.2,110.1,41.2,-1.6588037,34.132095,Normal,Open Play,From Free Kick,False,178,0.055352077
78.9,54.3,92.8,44.4,-0.61888707,17.065168,Normal,Open Play,From Counter,False,178,0.031335544
96.2,14.3,94.2,26.8,1.7294515,12.658989,Normal,Open Play,From Throw In,False,173,0.03992618
86.8,53.5,87.1,46.2,-1.5297235,7.306162,Normal,Open Play,Regular Play,True,178,0.024678703
90.3,19.4,115.6,28.2,0.33473682,26.78675,Normal,Open Play,From Free Kick,False,178,0.06443074
97.9,12.5,112.6,36.2,1.0156177,27.888708,Normal,Free Kick,From Free Kick,False,178,0.13473874
101.0,77.3,102.7,29.8,-1.5350221,47.53041,Normal,Open Play,From Throw In,False,173,0.07440152
120.0,80.0,113.5,48.2,-1.7724215,32.45751,Inswinging,Corner,From Corner,False,173,0.0628517
120.0,80.0,113.6,47.6,-1.7658166,33.02605,Inswinging,Corner,From Corner,False,173,0.058299437
67.7,62.0,93.5,56.3,-0.21743742,26.42215,Normal,Open Play,Regular Play,False,178,0.01878861
120.0,80.0,113.3,42.3,-1.7466788,38.29073,Inswinging,Corner,From Corner,False,171,0.14948583
114.1,44.1,107.5,43.9,-3.1112988,6.6030297,Normal,Free Kick,From Free Kick,False,171,0.10064862
63.0,67.6,101.1,48.9,-0.45627156,42.441723,Normal,Open Play,From Counter,True,171,0.09933475
78.6,51.8,92.4,61.0,0.5880026,16.585535,Normal,Open Play,From Counter,False,171,0.021310994
91.2,25.0,112.2,50.1,0.8741019,32.726288,Normal,Free Kick,From Free Kick,False,171,0.029216664
120.0,80.0,112.2,41.5,-1.7706882,39.282185,Inswinging,Corner,From Corner,False,171,0.104720466
90.1,30.4,92.2,23.5,-1.2753555,7.212489,Normal,Open Play,Regular Play,False,171,0.018013792
95.8,68.1,108.0,36.8,-1.1991343,33.5936,Normal,Open Play,From Goal Kick,False,872,0.08570844
86.9,18.4,100.6,12.8,-0.38803446,14.800338,Normal,Open Play,From Keeper,False,171,0.011503898
75.2,61.4,79.1,25.0,-1.4640607,36.608334,Normal,Open Play,From Throw In,False,171,0.0069679283
91.4,31.5,82.4,51.5,1.9936502,21.931713,Normal,Open Play,From Goal Kick,False,872,0.031716824
98.8,21.8,98.4,33.8,1.6041173,12.006665,Normal,Open Play,From Free Kick,False,872,0.024853172
55.2,47.5,62.8,43.6,-0.47411844,8.542248,Normal,Open Play,From Counter,False,872,0.007625579
120.0,80.0,110.3,43.5,-1.8305459,37.76692,Outswinging,Corner,From Corner,False,173,0.051886164
99.9,8.8,109.7,34.5,1.2064939,27.50509,Normal,Open Play,Regular Play,False,173,0.1186631
120.0,0.1,110.6,44.4,1.7798847,45.286312,Inswinging,Corner,From Corner,False,173,0.046305485
